Size,Time_ms
50,0.0001
70,0.0003
90,0.0005
110,0.0006
130,0.0008
150,0.0018
170,0.0017
190,0.0018
210,0.0018
230,0.0022
250,0.003
270,0.005
290,0.0045
310,0.0036
330,0.0057
350,0.0064
370,0.0072
390,0.0084
410,0.0066
430,0.0098
450,0.0115
470,0.0116
490,0.0096
510,0.0113
530,0.0135
550,0.0172
570,0.0191
590,0.0147
610,0.0217
630,0.021
650,0.0229
670,0.0225
690,0.0245
710,0.0205
730,0.0317
750,0.0313
770,0.0313
790,0.0237
810,0.0363
830,0.0415
850,0.0392
870,0.0366
890,0.0373
910,0.0417
930,0.0486
950,0.0445
970,0.0378
990,0.0557
1010,0.0559
1030,0.0376
1050,0.0588
1070,0.0617
1090,0.0705
1110,0.0607
1130,0.0531
1150,0.0742
1170,0.0724
1190,0.0709
1210,0.0729
1230,0.0711
1250,0.0784
1270,0.0866
1290,0.0867
1310,0.0894
1330,0.1009
1350,0.0921
1370,0.0978
1390,0.1056
1410,0.0963
1430,0.1127
1450,0.1199
1470,0.112
1490,0.1233
1510,0.0929
1530,0.1276
1550,0.0981
1570,0.1297
1590,0.137
1610,0.1342
1630,0.1471
1650,0.1462
1670,0.15
1690,0.1453
1710,0.1437
1730,0.1763
1750,0.1706
1770,0.1572
1790,0.1803
1810,0.1261
1830,0.1679
1850,0.1788
1870,0.1835
1890,0.2039
1910,0.1521
1930,0.1934
1950,0.1539
1970,0.199
1990,0.2121
2010,0.2198
2030,0.2155
2050,0.2057
2070,0.2243
2090,0.2468
2110,0.2349
2130,0.2499
2150,0.2474
2170,0.1912
2190,0.2449
2210,0.2093
2230,0.2525
2250,0.2665
2270,0.2619
2290,0.2513
2310,0.291
2330,0.2867
2350,0.2979
2370,0.3102
2390,0.2291
2410,0.2394
2430,0.3201
2450,0.2471
2470,0.3274
2490,0.3058
2510,0.2702
2530,0.3486
2550,0.3542
2570,0.3419
2590,0.2681
2610,0.3641
2630,0.3838
2650,0.3807
2670,0.344
2690,0.3002
2710,0.3023
2730,0.4039
2750,0.4145
2770,0.3977
2790,0.4098
2810,0.326
2830,0.3159
2850,0.434
2870,0.4327
2890,0.4379
2910,0.4503
2930,0.4316
2950,0.4388
2970,0.4871
2990,0.4707
3010,0.4903
3030,0.3753
3050,0.3745
3070,0.3879
3090,0.4034
3110,0.4104
3130,0.5256
3150,0.4174
3170,0.5113
3190,0.5517
3210,0.5172
3230,0.5568
3250,0.5757
3270,0.567
3290,0.4607
3310,0.4534
3330,0.4564
3350,0.5743
3370,0.5362
3390,0.637
3410,0.6325
3430,0.6505
3450,0.6347
3470,0.6091
3490,0.4915
3510,0.6467
3530,0.6813
3550,0.6725
3570,0.6396
3590,0.5587
3610,0.6811
3630,0.539
3650,0.741
3670,0.7247
3690,0.7339
3710,0.721
3730,0.7587
3750,0.7423
3770,0.7247
3790,0.6241
3810,0.765
3830,0.7726
3850,0.6516
3870,0.6054
3890,0.6314
3910,0.8376
3930,0.8583
3950,0.7845
3970,0.6369
3990,0.823
